BATCH-R1-0001,AFY_BATCH_PRODUCTION_20260820_R1,256,'12035,Florida,Flagler,140360,Stirling & Associates Electrical,ChIJY2gkRH7r5ogRd1-vh6lCgcw,,60,60,Bunnell,"899 Hibiscus Ave, Bunnell, FL 32110",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0002,AFY_BATCH_PRODUCTION_20260820_R1,119,'05045,Arkansas,Faulkner,133979,Middlebrooks Electric/Heating & Air,ChIJOed2D82D0ocRQwjSErwE7-k,,60,60,Conway,"708 Museum Rd, Conway, AR 72032",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0003,AFY_BATCH_PRODUCTION_20260820_R1,7,'01015,Alabama,Calhoun,115834,Goodwin Electric Co,ChIJtdBmBA5SiogRv8Iup1OCa0c,,60,60,Jacksonville,"1406 Green St SE, Jacksonville, AL 36265",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0004,AFY_BATCH_PRODUCTION_20260820_R1,34,'01069,Alabama,Houston,110318,Media Mechanical Services,ChIJGUkEpUqSkogRyCXyuRQEj2A,,60,60,Dothan,"725 Murray Rd, Dothan, AL 36303",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0005,AFY_BATCH_PRODUCTION_20260820_R1,274,'12089,Florida,Nassau,106879,"Snyder Air Conditioning, Plumbing & Electric",ChIJLb7jm73_5IgRo59DJ4WI8Vg,,60,60,Fernandina Beach,"911 S 8th St Ste 2, Fernandina Beach, FL 32034",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0006,AFY_BATCH_PRODUCTION_20260820_R1,7,'01015,Alabama,Calhoun,115834,Powell Electric Services Co,ChIJt7FOWAFSiogRRx3VL_OlL_M,,59,60,Jacksonville,"111 Eighty Oak St SW, Jacksonville, AL 36265",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0007,AFY_BATCH_PRODUCTION_20260820_R1,274,'12089,Florida,Nassau,106879,Brandies Electric Inc,ChIJKXbCBFeh5YgRIe_C2uH1lZU,,59,60,Callahan,"541289 Lem Turner Rd, Callahan, FL 32011",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0008,AFY_BATCH_PRODUCTION_20260820_R1,44,'01095,Alabama,Marshall,103537,C&G Electric,ChIJj6wmgRcDiogRX_IXDqiTUDM,,59,60,Albertville,"1562 N Carlisle St, Albertville, AL 35951",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0009,AFY_BATCH_PRODUCTION_20260820_R1,111,'05029,Arkansas,Conway,21393,Chandler Electric and Properties,ChIJh-cQ_s-XzYcRCw-SsTUwdS8,,59,60,Cleveland,"3460 AR-95, Cleveland, AR 72030",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0010,AFY_BATCH_PRODUCTION_20260820_R1,308,'13059,Georgia,Clarke,129921,House Master Services Athens,ChIJH2ywj09s9ogRwOxP8UsQbjU,,58,60,Athens,"195 Myles Ct, Athens, GA 30605",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0011,AFY_BATCH_PRODUCTION_20260820_R1,7,'01015,Alabama,Calhoun,115834,Arnold Electric,ChIJ6cbIzpSzi4gRQZxRRxaaGVY,,58,60,Anniston,"Anniston, AL 36201",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0012,AFY_BATCH_PRODUCTION_20260820_R1,34,'01069,Alabama,Houston,110318,Mister Sparky,ChIJR8AJ6MRhkogRIOkZ_KiVJtg,,58,60,Newton,"119 Lee Boy Rd, Newton, AL 36352",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0013,AFY_BATCH_PRODUCTION_20260820_R1,274,'12089,Florida,Nassau,106879,Pagemasters Electrical Inc,ChIJK_UzUFWg5YgRfyTuIv5Lw94,,58,60,Callahan,"45102 Musslewhite Rd, Callahan, FL 32011",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0014,AFY_BATCH_PRODUCTION_20260820_R1,222,'08067,Colorado,La Plata,56898,Todd's Lightning Rods,ChIJC7upF98CPIcRRH-kSq9qimU,,58,60,Durango,"225 Turner Dr, Durango, CO 81303",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0015,AFY_BATCH_PRODUCTION_20260820_R1,211,'08043,Colorado,Fremont,50039,Challenger Electric,ChIJRX0tftaAFIcRW9ri58PpcBU,,58,60,Florence,"691 Moore Dr, Florence, CO 81226",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0016,AFY_BATCH_PRODUCTION_20260820_R1,259,'12041,Florida,Gilchrist,20488,Adam Mikell Powering & Elec,ChIJA0u04PjT6IgREnVrzpjL918,,58,58,Branford,"600 NW 96th Pl, Branford, FL 32008",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0017,AFY_BATCH_PRODUCTION_20260820_R1,46,'01103,Alabama,Morgan,126483,"MB Electric, Inc.",ChIJq6pFRhuFYogRj1K56C7L1qE,,57,60,Decatur,"879 McEntire Ln, Decatur, AL 35601",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0018,AFY_BATCH_PRODUCTION_20260820_R1,290,'13015,Georgia,Bartow,120800,Croft Wiring Pros,ChIJuwBEAd1P9YgRMXkGmEwdWQA,,57,60,Cartersville,"1451 US-411, Cartersville, GA 30121",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0019,AFY_BATCH_PRODUCTION_20260820_R1,34,'01069,Alabama,Houston,110318,Trinity & Associates Electrical,ChIJMeD4D_6SkogRvDOKjp8pE3s,,57,60,Dothan,"357 S Alice St, Dothan, AL 36301",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0020,AFY_BATCH_PRODUCTION_20260820_R1,138,'05083,Arkansas,Logan,21633,Six Mile Electric Co,ChIJmbodFbmFy4cRT-CAxBHkcW4,,57,60,Paris,"8061 AR-22, Paris, AR 72855",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
